system,n,answer_accuracy,answer_accuracy_ci,abstention_recall,false_abstention_rate,conflict_accuracy,conflict_recall,conflict_precision,citation_accuracy,primary_citation_accuracy,retrieval_hit_rate,hallucination_rate,adjudicator_invocation_rate,mean_llm_calls,mean_latency,extraction_backend_mix,provider,model,embedder_backend,reranker_backend,provider_errors
vanilla_rag,32,0.46875,"[0.312, 0.656]",0.0,0.0,0.5,0.0,,0.5555555555555556,0.5555555555555556,1.0,0.25,0.0,0.0,0.0013437500000000008,,offline,offline-deterministic,tfidf-svd,lexical,0
verirag,32,1.0,"[0.893, 1.000]",1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,0.0026562500000000015,rules=100%,offline,offline-deterministic,tfidf-svd,lexical,0
no_rerank,32,0.96875,"[0.906, 1.000]",1.0,0.0,1.0,1.0,1.0,0.9629629629629629,0.9629629629629629,0.9629629629629629,0.03125,0.5,0.0,0.002156250000000001,rules=100%,offline,offline-deterministic,tfidf-svd,lexical,0
no_adjudicator,32,0.71875,"[0.562, 0.875]",1.0,0.0,1.0,1.0,1.0,0.6666666666666666,0.5925925925925926,1.0,0.1875,0.0,0.0,0.002218750000000001,rules=100%,offline,offline-deterministic,tfidf-svd,lexical,0
recency_only,32,0.71875,"[0.562, 0.875]",1.0,0.0,1.0,1.0,1.0,0.8888888888888888,0.5555555555555556,1.0,0.28125,0.5,0.0,0.0024062500000000013,rules=100%,offline,offline-deterministic,tfidf-svd,lexical,0
